pick_order,scene_token,name,part,location,vehicle,num_samples,anchor_for,description
182,2f0e54af35964a3fb347359836bec035,scene-0539,6,boston-seaport,n008,41,,Jaywalkers; bicycle racks; bus; parked scooters; parked bicycles; many peds; cross intersection
183,a4fe925930de41489b12b85b77d2f0cb,scene-0952,9,singapore-onenorth,n015,40,,Parked vehicles; construction worker; parked bicycle; peds; parked vehicles; jaywalkers; ped carrying object; ped with backpack; cross intersection
184,ef5f216134a94e308697ab4c75402a20,scene-0129,2,singapore-onenorth,n015,40,,Parking lot; cross crosswalk; go over bump; construction; peds; scooter on main road
185,727214583a2a478094d4f093d20c7060,scene-0902,9,boston-seaport,n008,40,,Rain; parked cars; parked bicycle; parked scooter; bus; cones; peds
186,19640fe4b6894f97b16e0faad51432b4,scene-1024,10,singapore-queenstown,n015,40,,Night; peds; bus
187,ab8bf18dfce14db4b8213b88f5dc1429,scene-0287,3,boston-seaport,n008,40,,Overtake heavy truck; stopped motorcycle; parking lot; peds; arrive at intersection
188,53d4c9a634df4fdfadf057d3a216e98f,scene-0685,7,boston-seaport,n008,41,,Wait at crosswalk; many peds; turn right; peds crossing crosswalk; bus; sitting peds
189,3bc4553925494890a21ef7a15c40eaed,scene-0297,3,boston-seaport,n008,39,,Right turn; peds crossing; cross intersection; cyclist
190,c0cb50847c3949a0b4baf2e200ac897c,scene-0070,1,boston-seaport,n008,40,,Peds; ped with bag; bus stop; parking lot; turn right; follow cyclist; trailers; turn left
191,7e3a6bdd6c6f4c8fb018cff404974446,scene-0022,1,singapore-onenorth,n015,40,,Barriers; construction; lane switch; turn left
192,59ff984c3143486da7d2c4ffec023b36,scene-0291,3,boston-seaport,n008,39,,Big street; construction; SUV overtaking
193,65cfdc10a42e499ea704c617e077afe0,scene-0894,9,boston-seaport,n008,40,,Rain; parked cars; peds; cones; jaywalker; parked bicycle; turn left
194,bed8426a524d45afab05b19cf02386b2,scene-0124,2,singapore-onenorth,n015,40,,Many peds; parked buses; parked cars
195,29dee0b8210b410a9b3421f0cb39019f,scene-1014,10,singapore-queenstown,n015,41,,Night; bump; cars; turn right; bus; peds; ped in dark
196,590b4e5a4f94426ab3b1a66f35e140d5,scene-0588,6,boston-seaport,n008,40,,Rain; turn right; parking lot
197,59530445fcc04c2090bfaf63f342f794,scene-0065,1,boston-seaport,n008,40,,Wait at intersection; truck; peds; turn right; parking lot
198,4959ccdac5774a088d0c9e10667f09f1,scene-0256,3,boston-seaport,n008,39,,Pass by a jaywalker; parked car; stopped at red light
199,1466f33b56704942a368fa03d10708dd,scene-0695,7,boston-seaport,n008,40,,Parked cars; peds; bicycle racks; cones; through intersection
200,e631037169574c67944176bf079ee75c,scene-1050,10,singapore-hollandvillage,n015,40,,Night; many trash cans; followed by scooter; bus; truck; parked bicycle; bus stop; motorcycle; high speed
201,aa45d94630be481787f20121ce89a605,scene-0258,3,boston-seaport,n008,40,,Parked cars; cone; active cars; construction vehicle
202,48ba943c3d19463a81281bf6a7078eac,scene-0463,5,boston-seaport,n008,40,,Rain; FedEx truck loaded on trailer; true cone loaded on a van; arrive at intersection; parked cars; several active trucks
203,01796494e25c448dadaba70cfcc3532d,scene-0854,8,singapore-queenstown,n015,40,,Lane change; dense traffic; buses; cars; ped; arrive at intersection
204,8dd4349e80c345afac455cf76074f028,scene-0365,4,singapore-onenorth,n015,40,,Jaywalker; offloading truck; parked bicycle
205,1ad821fcfc9f4c24bb879ec7d5ba0ec1,scene-0706,7,boston-seaport,n008,41,,Cross intersection; cars; cones; cars overtaking us; cyclist on sidewalk
206,3289046b886f4c98a676bd7e6a3c6ef1,scene-0886,8,boston-seaport,n008,41,,Rain; peds; truck; ships; cones; parked cars; barriers; arrive at intersection
207,8d8728879b89405eba3f8ce1af138cb2,scene-1045,10,singapore-hollandvillage,n015,41,,Night; wait at intersection; dense traffic; motorcycles; truck
208,cf550d9670274ac1a7f274fbacb39c48,scene-0048,1,singapore-onenorth,n015,40,,Construction; narrow road; construction workers; heavy construction vehicles; right turn
209,efe3681f556b43e6aa65bf7bfc61a2f8,scene-0713,7,boston-seaport,n008,40,,Bridge; cars; peds on sidewalk; truck; arrive at intersection; peds crossing crosswalk
210,5dd272b76c3f4e2582040a91f2be2dde,scene-0856,8,singapore-queenstown,n015,41,,Parked buses; parked bicycles; many peds; cone
211,359f9c029ae44e1d9d47c05bc7915561,scene-0041,1,singapore-onenorth,n015,40,,Turn left; arrive at busy intersection; red light
212,d654cae175de44319ace178994ed0329,scene-0262,3,boston-seaport,n008,40,,Peds crossing; turn right; construction
213,89f20737ec344aa48b543a9e005a38ca,scene-1107,10,singapore-hollandvillage,n015,41,,Night; rain; high speed; scooter; dense traffic at other lane
214,555c691be4704ef29559373e031441dd,scene-0718,7,boston-seaport,n008,40,,Jaywalkers; parked cars; parked trucks; cones; wait at intersection; peds on sidewalk
215,daa9fce50073470398da3c2bccdaf21b,scene-0010,1,singapore-onenorth,n015,40,,Parked motorcycle; person pickung up garbage; pass construction vehicles and entrance to construction site
216,faa975eaad804c85bd8f2da9b30c8d9a,scene-1018,10,singapore-queenstown,n015,41,,Night; turn right; cars; bus; bus stop; scooter
217,a6daedc3063b421cb3a05019e545f925,scene-0499,5,boston-seaport,n008,40,,Construction zone; workers; parking lot; park motorcycle
218,20ec831deb0f44e397497198cbe5a97c,scene-0502,5,boston-seaport,n008,41,,Parked truck; right turn; jaywalkers; bike rack; arrive at intersection
219,87a71839e68b46da8e91fb5f21b50c1c,scene-0227,3,boston-seaport,n008,39,,Heavy traffic flow; stopped at red light
220,eba4b7c19b5f48289e105937d03e5222,scene-0381,4,singapore-onenorth,n015,40,,Ped crossing; peds; construction; parked bicycles; turn right
221,1e3f0bd8063a4084b7104345b20bfb80,scene-0469,5,boston-seaport,n008,40,,Rain; truck; cross intersection; ped; parked cars; bicyclist; sign trailer; bicycle rack
222,53e8446852bf488bb1b09ae032918bbd,scene-0889,8,boston-seaport,n008,40,,Rain; wait at intersection; bicycle racks; peds; ped with umbrella; ped crossing crosswalk; ped with bag; parking lot; truck
223,00590cbfa24a430a8c274b51e1c71231,scene-0126,2,singapore-onenorth,n015,40,,Delayed left turn; jaywalker; parking lot; bus stops; parked bicycle; truck; turn right
224,078e6d7a3d4a429bba404bf12c7a98f2,scene-0768,8,boston-seaport,n008,41,,Parked cars; truck overtaking us; peds on sidewalk; bus; turck; construction vehicle; bicycle rack; bicycle; truck
225,4efde86424ea4088a43faeb5158ceabf,scene-0468,5,boston-seaport,n008,41,,Rain; wait at intersection; flipped cone; truck
226,095d9b93b583425f910ae2afaf1d017d,scene-0049,1,singapore-onenorth,n015,39,,Construction; barriers behind net; parked trucks; excavators; turn left
227,797700339b014fb6aa61c1ea3778d587,scene-1022,10,singapore-queenstown,n015,40,,Night; bus; bump; scooter; peds; very dark; lights
228,6308d6d934074a028fc3145eedf3e65f,scene-0293,3,boston-seaport,n008,40,,Construction; parked cars
229,17302a41218442ffbb0b094adb0669ab,scene-0371,4,singapore-onenorth,n015,40,,Peds; parked bus; oncoming scooter; parked bicycles; parked trucks; buses; wait at intersection
230,9056ac9944e846109b00e31cc96259cb,scene-0654,6,boston-seaport,n008,40,,Turn right; crane; policemen on road; parked cars
231,97ba0e14805b42f292db7f06b6d1121b,scene-0456,5,boston-seaport,n008,41,,Rain; parking lot; bicycle rack; turn right; crane
232,34ca95580d2d4c45a68b471d5afb3e27,scene-0792,8,singapore-queenstown,n015,40,,Ped on sidewalk; peds; parked bicycle; stopped double decker bus
233,5a2aac9df32945d183fc81924ff148b6,scene-0961,9,singapore-onenorth,n015,41,,Construction workers; barriers; construction vehicle; parked car; turn right; parked scooter
234,53c92676ef334011bd4689494ac11fa0,scene-0202,2,boston-seaport,n008,39,,Parked cars; jaywalker; peds; parked bicycle
235,66be189398d74681a8b8db4b7dd52259,scene-0670,7,boston-seaport,n008,41,,Wait at intersection; heavy truck; personal mobility device; bus; ped crossing crosswalk
236,de943e246dad4ad686de98008a634ecf,scene-0019,1,singapore-onenorth,n015,40,,Turn left; waiting peds; turn left
237,19f47b8941094af29b8db20b255717fc,scene-0242,3,boston-seaport,n008,40,,Heavy vehs; waiting at intersection for red light; cyclist
238,e5514b8f435e475cac4eba74b44773b5,scene-1106,10,singapore-hollandvillage,n015,40,,Night; rain; high speed; scooter; bus stop; low traffic; bus
239,7937f7d56b5444fd8c55052460e23807,scene-0820,8,boston-seaport,n008,40,,Rain; Cross intersection; cross intersection; parking lots; peds on sidewalk; low traffic density; parked cars
240,e083627747d8499a8c4e94c7abf941e2,scene-0895,9,boston-seaport,n008,41,,Rain; parked cars; cones; peds; car leaving parking garage; cross intersection; construction site; construction vehicle; barrier
241,8383c0b1422b46ad90e2a64ff3e91fcf,scene-0979,9,singapore-onenorth,n015,40,,Many peds; motorcycle; cars; cross intersection; car overtaking us; parked bicycle
242,c949ec2cca7047bdb67dce64b6c3586a,scene-1078,10,singapore-hollandvillage,n015,40,,Night; big street; high speed; scooters; bus; lane change
243,566311b8201e416f9f99463656dcadce,scene-0348,4,singapore-onenorth,n015,40,,Turn right; bus; peds; narrow street
244,1ec0b9bc3eca4b76b2610c519f843762,scene-0500,5,boston-seaport,n008,40,,Left turn; large truck turns right; parked vehicles; parking lot; peds
245,68fc5e3698a544d1bdf5847b88ad77d4,scene-0849,8,singapore-queenstown,n015,40,,Cars; cross intersection; peds on sidewalk; barriers; cars overtaking us
246,b829278aae2747959f2a95423455bbcb,scene-0597,6,boston-seaport,n008,40,,Rain; parked cars; peds and children; parked truck
247,dc8302cfccdb4812a0a4a60dde595e18,scene-0764,7,boston-seaport,n008,40,,Bicycle; parked cars; parked trucks; follow bicycle; construction vehicle; ped; animal; containers; parking lot
248,b09162caded44198b149b4bce3558056,scene-0865,8,singapore-queenstown,n015,41,,Many peds; parking lot; parked bicycle; bus; parked motorcycles; turn right; cross intersection; stopped truck; people on truck
249,2ba06ef7b3b44cbfad6d771981d86af9,scene-0236,3,boston-seaport,n008,40,,Peds; congestion; parked cars
250,d0880a386b6d434bb5cd13c134af7a3e,scene-0023,1,singapore-onenorth,n015,40,,Overtake parked car; bus turning; motorcycle
251,c59fe8015e3743329ec907bc29c93124,scene-0501,5,boston-seaport,n008,39,,Parked vehicles; right bend; parked truck; jaywalkers; sitting peds
252,fe3aa64e4339456186c38c6308f5fb1a,scene-0708,7,boston-seaport,n008,40,,Parked cars; peds on sidewalk; cones; ped on sidewalk; arrive at intersection; cross intersection
253,270fe8382f884386b3445143fa946200,scene-1011,10,singapore-queenstown,n015,40,,Night; bus; parked cars; peds
254,214008f81b8b4b509c730f0c13e9491f,scene-0714,7,boston-seaport,n008,41,,Wait at intersection; bridge; jaywalkers; peds on sidewalk; peds crossing crosswalk
255,4bcb814456f044919bc052c208dbebc5,scene-0644,6,boston-seaport,n008,40,,Rain; parked cars; parking lot; ped; parked truck; construction vehicle; sign trailer
256,a1ca2ba59ac9452fb3da60019bf32c71,scene-0120,2,singapore-onenorth,n015,40,,Parked motorcycles; parking lot; wait at intersection; truck; ped very close to ego-vehicle
257,567fcd99d0dc4fa088f52b047f4ebdcf,scene-1083,10,singapore-hollandvillage,n015,40,,Night; big street; bus; scooter; turn right
258,453453c849304ad69741891946d46453,scene-0467,5,boston-seaport,n008,40,,Rain; wait at intersection; flipped cone; construction; digger; ped
259,ed97ee6a3b444ba7800641baab057556,scene-0391,4,boston-seaport,n008,40,,Go straight; two bicycles; turn right; two bendy busses
260,6f5133fe62b240e797bac25aeff8b531,scene-0005,1,singapore-onenorth,n015,39,,Overtaken by taxi; construction site
261,724957e51f464a9aa64a16458443786d,scene-0238,3,boston-seaport,n008,40,,Many peds; ped with pet; stopped bicycle; truck; cross intersection; car makes a u-turn; lane changing; peds crossing crosswalk; parked bicycle
262,9c83e438973e4824853e6a38928ca4ff,scene-0429,5,singapore-queenstown,n015,40,,Half-open parking garage; parked scooters; oncoming scooter; parked car; peds; barricade
263,f13bd38bf9b64d579a63d4e7d750f592,scene-0364,4,singapore-onenorth,n015,40,,Followed by scooter; peds; bus stop; parked trucks; bus stop; parked bicycles; bicyclist
264,52fa2df7fde34bd58ee30cff02b73f51,scene-0727,7,boston-seaport,n008,40,,Wait at intersection; peds on sidewalks; parked cars; cones; peds crossing crosswalk
265,dcdea563c77544bb887de11d87619d3c,scene-0888,8,boston-seaport,n008,40,,Rain; peds; truck; cones; parked cars; turn right; parking lot; animal
266,5d5506d750cc41d8bd33840d5350d7ad,scene-0864,8,singapore-queenstown,n015,41,,Car passing by; parking lot; cones; bus passing by; many peds; parked truck
267,9a0d2af517ff44f587c93254ee657215,scene-0303,3,boston-seaport,n008,40,,Cross intersection; construction; large group of cones
268,b0c4f9a7680142d8add66f69e5f20ecb,scene-0454,5,boston-seaport,n008,40,,Rain; turn left; bike rack; parking lot
269,7ed1b613f0ee47ceaf6d19ca3947f825,scene-1109,10,singapore-hollandvillage,n015,39,,Night; rain; bus; lightning
